Word,Count
*,526
the,221
,103
and,86
to,80
on,78
of,72
by,71
OR,64
OF,64
Bublik,62
Created,62
in,52
THE,40
this,40
a,39
=,36
be,33
ANY,32
is,32
AND,32
or,31
The,29
that,28
it,28
are,25
IN,24
with,24
conditions,24
following,24
new,24
for,24
code,21
31-Aug-17,20
TODO:,20
from,20
must,20
source,18
provided,18
list,18
above,18
},17
will,17
without,17
binary,16
LIMITED,16
\notice,\,16
BUT,16
THIS,16
\LIABILITY,\,16
COPYRIGHT,16
\TO,\,16
copyright,16
IMPLIED,16
NOT,16
FOR,16
Redistributions,16
disclaimer,16
CONTRIBUTORS,16
we,15
camera,15
used,15
input,14
limit,14
other,14
have,13
add,12
if,12
use,12
curve,12
A,12
Lemur,12
speed,12
its,12
create,11
so,11
some,10
simple,10
@param,10
Set,10
function,10
name,10
02-Sep-17,10
radius,10
back,9
progress,9
may,9
specific,9
because,9
size,9
not,9
but,9
would,9
void,9
default,9
private,9
form,8
\EXEMPLARY,\,8
TORT,8
\INDIRECT,\,8
permission,8
SOFTWARE,8
documentation,8
as,8
PROCUREMENT,8
retain,8
2013-2013,8
DAMAGES,8
OUT,8
origin,8
reserved,8
HOWEVER,8
promote,8
THEORY,8
ON,8
SERVICES;,8
Redistribution,8
ARISING,8
Copyright,8
software,8
bar,8
(c),8
OTHERWISE),8
PURPOSE,8
rights,8
IF,8
reproduce,8
written,8
POSSIBILITY,8
\SOFTWARE,\,8
\INCIDENTAL,\,8
our,8
SUBSTITUTE,8
@author,8
\DATA,\,8
INTERRUPTION),8
\modification,\,8
FITNESS,8
CONSEQUENTIAL,8
derived,8
endorse,8
names,8
\IS"\\,8
\INCLUDING,\,8
BY,8
BE,8
LIABLE,8
met:,8
USE,8
GUI,8
\CONTRACT,\,8
object,8
(INCLUDING,8
GOODS,8
animation,8
and/or,8
EXPRESS,8
\"\AS\,8
STRICT,8
SHALL,8
ADVISED,8
\forms,\,8
All,8
\WARRANTIES,\,8
PROVIDED,8
NO,8
distribution,8
$Id$,8
PARTICULAR,8
\SPECIAL,\,8
world,8
materials,8
\(INCLUDING,\,8
WARRANTIES,8
contributors,8
WAY,8
NEGLIGENCE,8
LOSS,8
DISCLAIMED,8
IS,8
permitted,8
BUSINESS,8
only,8
EVEN,8
Neither,8
OWNER,8
prior,8
MERCHANTABILITY,8
WHETHER,8
CAUSED,8
\DIRECT,\,8
products,8
jMonkeyEngine,8
nor,8
SUCH,8
elements,8
'jMonkeyEngine',8
\USE,\,8
HOLDERS,8
ARE,8
DAMAGE,8
PROFITS;,8
EVENT,8
model,7
game,7
20-Aug-17,7
float,7
1,7
int,7
6,7
joystick,7
5,7
later,7
//,7
units,7
all,7
So,6
smaller,6
effect,6
starts,6
move,6
deformation,6
application,6
rotate,6
setup,6
mesh,6
enabled,6
scene,6
box,6
than,6
update,5
-,5
value,5
run,5
21-Sep-17,5
current,5
long,5
This,5
{,5
test,5
been,5
UI,5
Now,5
render,5
one,5
drag,5
7,5
along,5
set,5
like,5
01-Sep-17,5
For,5
at,5
given,5
We,5
@return,5
mode,5
axis,5
means,5
mappings,5
we'll,5
their,5
can,5
demonstrating,5
mouse,5
pspeed,5
itself,5
material,4
In,4
Sets,4
space,4
Geometry,4
control,4
up,4
splits,4
upon,4
Create,4
mapping,4
them,4
25-Aug-17,4
cursor,4
screen,4
Add,4
FlyByCamera,4
get,4
about,4
map,4
main,4
no,4
want,4
axes,4
own,4
subsystems,4
becomes,4
controls,4
do,4
zoom,4
I,4
normal,4
maximum,4
more,4
put,4
Initialize,4
running,3
exit,3
point,3
easier,3
InputMapper,3
jME,3
examples,3
movement,3
off,3
style,3
level,3
Gems,3
built,3
unit,3
sensitivity,3
settings,3
),3
corner,3
user,3
when,3
switch,3
class,3
simply,3
Material,3
any,3
(default,3
gui,3
3D,3
left,3
based,3
group,3
could,3
scale,3
vector,3
button,3
much,3
start,3
If,3
Gets,3
@see,3
geometry,3
configured,3
When,3
treated,3
node,3
per,3
device,3
blue,3
just,3
data,3
Note:,3
negative,3
false;,3
second,3
29-Aug-17,3
it's,3
position,3
needed,3
case,3
nodes,3
22-Aug-17,3
how,3
flip,3
color,3
also,3
make,3
Texture,2
side,2
hard-clamp,2
element,2
public,2
loaded,2
'range',2
an,2
At,2
grow,2
\case,\,2
work,2
keys,2
vertically,2
MBox,2
Here,2
built-in,2
\majorAxis,\,2
has,2
except,2
closer,2
tighter,2
cube,2
mat,2
ColorRGBA.Blue);,2
cause,2
applies,2
inputs,2
before,2
sets,2
look,2
boolean,2
defaults,2
pixel,2
+,2
And,2
That,2
wrap,2
something,2
true;,2
buffers,2
W,2
\origin,\,2
functions,2
such,2
half,2
moving,2
approach,2
clause,2
producing,2
Contains,2
Implementation,2
params,2
often,2
changed,2
cylindrical(,2
'origin',2
needs,2
zero,2
\Vector3f(1,0,2),\,2
22-Sep-17,2
4,2
WHERE,2
fragment,2
animate,2
each,2
then,2
base..,2
zoomSpeed,2
process,2
analog,2
\"\cylindrical"\\,2
\However,\,2
y,2
done,2
best,2
additional,2
09-Sep-17,2
base,2
load,2
Model,2
reference,2
rotationSpeed,2
warps,2
return,2
decorator,2
range,2
handler,2
quads,2
initialize,2
single,2
x,2
handling,2
glass,2
updated,2
press,2
\start,\,2
shape,2
into,2
Paul,2
JME,2
max,2
being,2
Setup,2
treat,2
configuration,2
-1,2
over,2
\radius,\,2
change,2
values,2
\Material(assetManager,\,2
speeds,2
down,2
was,2
example:,2
deformations,2
Reset,2
\size,\,2
better,2
feature,2
place,2
don't,2
key,2
interface,2
clone,2
small,2
stick,2
full,2
now,2
\dynamicGeometry.beginAnimation("\build"\);\,2
3,2
splash,2
project,2
upper,2
\"\Common/MatDefs/Misc/Unshaded.j3md"\);\,2
GeometryAnimationManager,2
logic,2
constructor,2
wrapping,2
S,2
moveSpeed,2
MOVE,2
standard,2
Anything,2
they,2
(System.currentTimeMillis()-time,2
triangles,2
FIXME:,2
preferred,2
1.0,2
boxes,2
columns,2
Vector3f[]{new,2
adjust,2
\mat.setColor("\Color"\,\,2
similar,2
three,2
\minorAxis,\,2
Vector3f,2
takes,2
Make,2
toggle,2
where,2
ie:,2
show,2
Dispatcher,2
z,2
CameraMovementState,2
view,2
Camera,2
automatically,2
way,2
let,2
parameters,2
height,2
split,2
find,2
27-Aug-17,2
>=,2
always,2
DMesh,2
Another,2
includes,2
todo:,2
Shift,2
(the,2
polyAnimation,2
Speed,2
tutorial,2
major,2
times,1
One-step,1
geom.setMaterial(mat);,1
\floor.move(-15f,-5,15);\,1
increase/decrease,1
dynamicGeometry,1
non-run,1
\Polygon(ColorRGBA.Blue,\,1
\index,\,1
multiplier,1
\"\Confirm\,1
Elevation,1
Box,1
going,1
Puts,1
cam,1
desired,1
'scale',1
@Override,1
runs,1
files),1
HUD,1
real,1
states,1
condition,1
0);,1
flight,1
*.crm,1
original,1
etc.),1
Progress,1
support,1
forward,1
us,1
texture/models/sounds/etc,1
1),1
mat2,1
row,1
\work(god,\,1
geom.move(new,1
\move,\,1
sure,1
BaseStyles.loadGlassStyle();,1
time);,1
8,1
testInit();,1
'run,1
getCamera().getUp());,1
2,1
need,1
placeholder,1
scaling,1
nudge,1
filter,1
framerate,1
\mat2.setBoolean("\UseMaterialColors"\,true);\,1
\"\splash"\..\,1
stateManager.getState(CameraMovementState.class).setEnabled(false);,1
really,1
accepting,1
\mat2.setFloat("\Shininess"\,\,1
//TEST,1
simpleApplication,1
\bytes,\,1
\yes,\,1
icon,1
message,1
called,1
far,1
light,1
there,1
lot,1
PSpeed,1
\double[],\,1
wanna,1
10-Sep-17,1
directory,1
500f);,1
hold,1
dimension,1
(if,1
attachGrid(Vector3f,1
width,1
possibilities,1
anti-aliasing,1
On,1
delay,1
g;,1
top,1
invisible,1
2),1
AmbientLight(ColorRGBA.DarkGray);,1
\Vector3f(0,0,0),\,1
\Grid(size,\,1
\simpleApplication.getCamera().getWidth()),\,1
emulator..,1
directly,1
KeyInput.KEY_W,1
manage,1
Mouse,1
\short,\,1
go,1
flipped,1
ratio),1
which,1
tpf),1
DirectionalLight(getCamera().getDirection());,1
less,1
'bug',1
attach),1
SHIFT+W,1
turning,1
bars,1
\which,\,1
enable,1
FloatBuffer,1
using,1
\50,\,1
\example,\,1
clear,1
Nodes,1
Register,1
lifecycle,1
(short)r.nextInt(4));,1
0.01,1
box);,1
